Date : 2026-05-15 23:36:24
Directory : h:\tools\cyclemetry
Total : 283 files,  69990 codes, 5280 comments, 11200 blanks, all 86470 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         21 |     16,225 |          0 |         19 |     16,244 |
| Markdown           |         29 |     13,976 |          0 |      5,121 |     19,097 |
| Rust               |         44 |     13,615 |      1,420 |      1,219 |     16,254 |
| YAML               |          5 |      9,802 |          0 |      2,354 |     12,156 |
| JavaScript         |        107 |      9,018 |      2,480 |      1,714 |     13,212 |
| JavaScript JSX     |         62 |      6,561 |      1,373 |        731 |      8,665 |
| XML                |         11 |        499 |          3 |         12 |        514 |
| PostCSS            |          1 |        261 |          4 |         27 |        292 |
| HTML               |          1 |         19 |          0 |          1 |         20 |
| JSON with Comments |          1 |          9 |          0 |          1 |         10 |
| Ignore             |          1 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        283 |     69,990 |      5,280 |     11,200 |     86,470 |
| . (Files)                                                                                     |          9 |     13,018 |          0 |      1,773 |     14,791 |
| .agents                                                                                       |          5 |      4,231 |          0 |      1,586 |      5,817 |
| .github                                                                                       |          2 |        105 |          0 |         22 |        127 |
| .github\workflows                                                                             |          2 |        105 |          0 |         22 |        127 |
| app                                                                                           |        182 |     26,644 |      3,857 |      3,265 |     33,766 |
| app (Files)                                                                                   |         10 |     11,154 |         11 |        862 |     12,027 |
| app\public                                                                                    |          1 |        142 |          1 |          2 |        145 |
| app\scripts                                                                                   |          1 |         36 |          0 |          9 |         45 |
| app\src                                                                                       |        170 |     15,312 |      3,845 |      2,392 |     21,549 |
| app\src (Files)                                                                               |          3 |        401 |         18 |         40 |        459 |
| app\src\api                                                                                   |          8 |      1,365 |        569 |        242 |      2,176 |
| app\src\components                                                                            |         27 |      2,268 |        613 |        368 |      3,249 |
| app\src\components\ui                                                                         |         21 |      2,197 |        613 |        362 |      3,172 |
| app\src\components\widgets                                                                    |          6 |         71 |          0 |          6 |         77 |
| app\src\components\widgets\icons                                                              |          6 |         71 |          0 |          6 |         77 |
| app\src\features                                                                              |        110 |      9,530 |      2,123 |      1,356 |     13,009 |
| app\src\features\app-shell                                                                    |         16 |        808 |        252 |        117 |      1,177 |
| app\src\features\app-shell (Files)                                                            |          1 |         10 |          4 |          2 |         16 |
| app\src\features\app-shell\components                                                         |          9 |        525 |        125 |         49 |        699 |
| app\src\features\app-shell\hooks                                                              |          4 |        188 |         85 |         46 |        319 |
| app\src\features\app-shell\utils                                                              |          2 |         85 |         38 |         20 |        143 |
| app\src\features\overlay-editor                                                               |         21 |      2,139 |        644 |        371 |      3,154 |
| app\src\features\overlay-editor (Files)                                                       |          1 |         22 |          6 |          7 |         35 |
| app\src\features\overlay-editor\components                                                    |          3 |        522 |         76 |         39 |        637 |
| app\src\features\overlay-editor\data                                                          |          3 |         84 |         40 |         18 |        142 |
| app\src\features\overlay-editor\hooks                                                         |          9 |        807 |        188 |        137 |      1,132 |
| app\src\features\overlay-editor\utils                                                         |          5 |        704 |        334 |        170 |      1,208 |
| app\src\features\player                                                                       |          7 |        467 |        123 |         80 |        670 |
| app\src\features\player (Files)                                                               |          1 |          1 |          3 |          2 |          6 |
| app\src\features\player\components                                                            |          1 |         87 |         10 |          5 |        102 |
| app\src\features\player\hooks                                                                 |          4 |        352 |         83 |         64 |        499 |
| app\src\features\player\utils                                                                 |          1 |         27 |         27 |          9 |         63 |
| app\src\features\render-video                                                                 |         16 |      1,193 |        264 |        161 |      1,618 |
| app\src\features\render-video (Files)                                                         |          1 |          4 |          4 |          2 |         10 |
| app\src\features\render-video\components                                                      |          3 |        381 |         41 |         36 |        458 |
| app\src\features\render-video\data                                                            |          2 |        119 |         13 |          9 |        141 |
| app\src\features\render-video\hooks                                                           |          7 |        547 |         99 |         76 |        722 |
| app\src\features\render-video\utils                                                           |          3 |        142 |        107 |         38 |        287 |
