Date : 2026-05-22 00:59:59
Directory : h:\tools\cyclemetry
Total : 286 files,  314578 codes, 5844 comments, 8368 blanks, all 328790 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| h:\tools\cyclemetry\app\components.json                                                       | JSON               |         24 |          0 |          1 |         25 |
| h:\tools\cyclemetry\app\eslint.config.js                                                      | JavaScript         |         57 |          3 |          3 |         63 |
| h:\tools\cyclemetry\app\index.html                                                            | HTML               |         19 |          0 |          1 |         20 |
| h:\tools\cyclemetry\app\jsconfig.json                                                         | JSON with Comments |          9 |          0 |          1 |         10 |
| h:\tools\cyclemetry\app\package-lock.json                                                     | JSON               |      7,407 |          0 |          1 |      7,408 |
| h:\tools\cyclemetry\app\package.json                                                          | JSON               |         55 |          0 |          1 |         56 |
| h:\tools\cyclemetry\app\pnpm-lock.yaml                                                        | YAML               |      3,483 |          0 |        840 |      4,323 |
| h:\tools\cyclemetry\app\public\logo.svg                                                       | XML                |        142 |          1 |          2 |        145 |
| h:\tools\cyclemetry\app\scripts\generate_parse_debug_from_raw_samples.mjs                     | JavaScript         |         36 |          0 |          9 |         45 |
| h:\tools\cyclemetry\app\src\App.jsx                                                           | JavaScript JSX     |        131 |         11 |         10 |        152 |
| h:\tools\cyclemetry\app\src\api\backend.js                                                    | JavaScript         |        131 |        128 |         29 |        288 |
| h:\tools\cyclemetry\app\src\components\ui\accordion.jsx                                       | JavaScript JSX     |         36 |         29 |          8 |         73 |
| h:\tools\cyclemetry\app\src\components\ui\alert.jsx                                           | JavaScript JSX     |         33 |         25 |          8 |         66 |
| h:\tools\cyclemetry\app\src\components\ui\badge.jsx                                           | JavaScript JSX     |         25 |         12 |          7 |         44 |
| h:\tools\cyclemetry\app\src\components\ui\blur-input.jsx                                      | JavaScript JSX     |         95 |         16 |         16 |        127 |
| h:\tools\cyclemetry\app\src\components\ui\button.jsx                                          | JavaScript JSX     |         37 |         13 |          7 |         57 |
| h:\tools\cyclemetry\app\src\components\ui\color-picker.jsx                                    | JavaScript JSX     |      1,255 |        176 |        177 |      1,608 |
| h:\tools\cyclemetry\app\src\components\ui\font-select-field.jsx                               | JavaScript JSX     |         55 |         15 |          7 |         77 |
| h:\tools\cyclemetry\app\src\components\ui\hex-color-picker.jsx                                | JavaScript JSX     |        157 |         18 |         16 |        191 |
| h:\tools\cyclemetry\app\src\components\ui\input.jsx                                           | JavaScript JSX     |         20 |         12 |          6 |         38 |
| h:\tools\cyclemetry\app\src\components\ui\label.jsx                                           | JavaScript JSX     |         18 |         10 |          5 |         33 |
| h:\tools\cyclemetry\app\src\components\ui\popover.jsx                                         | JavaScript JSX     |         38 |         51 |         11 |        100 |
| h:\tools\cyclemetry\app\src\components\ui\progress.jsx                                        | JavaScript JSX     |         19 |         11 |          5 |         35 |
| h:\tools\cyclemetry\app\src\components\ui\select.jsx                                          | JavaScript JSX     |        121 |         76 |         14 |        211 |
| h:\tools\cyclemetry\app\src\components\ui\separator.jsx                                       | JavaScript JSX     |         19 |         12 |          6 |         37 |
| h:\tools\cyclemetry\app\src\components\ui\simple-tooltip.jsx                                  | JavaScript JSX     |         20 |         14 |          7 |         41 |
| h:\tools\cyclemetry\app\src\components\ui\slider.jsx                                          | JavaScript JSX     |         45 |         14 |          7 |         66 |
| h:\tools\cyclemetry\app\src\components\ui\switch.jsx                                          | JavaScript JSX     |         23 |         10 |          5 |         38 |
| h:\tools\cyclemetry\app\src\components\ui\tabs.jsx                                            | JavaScript JSX     |         35 |         27 |          8 |         70 |
| h:\tools\cyclemetry\app\src\components\ui\visually-hidden-input.jsx                           | JavaScript JSX     |         96 |         10 |         26 |        132 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-cadence.svg                       | XML                |         54 |          0 |          1 |         55 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-course.svg                        | XML                |          5 |          0 |          1 |          6 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-elevation.svg                     | XML                |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-gradient.svg                      | XML                |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-heartrate.svg                     | XML                |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-label.svg                         | XML                |          5 |          0 |          1 |          6 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-power.svg                         | XML                |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-speed.svg                         | XML                |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-temperature.svg                   | XML                |          3 |          0 |          1 |          4 |
| h:\tools\cyclemetry\app\src\components\widgets\icons\widget-time.svg                          | XML                |          4 |          0 |          1 |          5 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ActionButtons.jsx                   | JavaScript JSX     |         32 |         16 |          4 |         52 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ActivitySection.jsx                 | JavaScript JSX     |        122 |         24 |          9 |        155 |
